track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Love Is Strange,Peaches & Herb,6bauqgjerq3FciVJIsH0w3,0.665,0.609,0,-7.893,1,0.0276,0.653,0.0,0.358,0.912,105.732,audio_features,6bauqgjerq3FciVJIsH0w3,spotify:track:6bauqgjerq3FciVJIsH0w3,https://api.spotify.com/v1/tracks/6bauqgjerq3FciVJIsH0w3,https://api.spotify.com/v1/audio-analysis/6bauqgjerq3FciVJIsH0w3,180813,4
Mama,Connie Francis,7Ax3ginliIXJTulGmJyTbo,0.141,0.174,0,-14.49,1,0.0361,0.824,2.12e-05,0.272,0.133,68.091,audio_features,7Ax3ginliIXJTulGmJyTbo,spotify:track:7Ax3ginliIXJTulGmJyTbo,https://api.spotify.com/v1/tracks/7Ax3ginliIXJTulGmJyTbo,https://api.spotify.com/v1/audio-analysis/7Ax3ginliIXJTulGmJyTbo,240307,3
I Remember Holding You,Boys Club Band,1vg9QIylIW01JyfvDtfd4H,0.609,0.843,2,-7.973,0,0.0447,0.307,0.000598,0.0517,0.762,92.48,audio_features,1vg9QIylIW01JyfvDtfd4H,spotify:track:1vg9QIylIW01JyfvDtfd4H,https://api.spotify.com/v1/tracks/1vg9QIylIW01JyfvDtfd4H,https://api.spotify.com/v1/audio-analysis/1vg9QIylIW01JyfvDtfd4H,293079,4
Princess In Rags,Gene Pitney,0ULdfU4qip9duOw03FKBCr,0.705,0.384,0,-14.733,1,0.0373,0.0838,0.0,0.174,0.79,117.667,audio_features,0ULdfU4qip9duOw03FKBCr,spotify:track:0ULdfU4qip9duOw03FKBCr,https://api.spotify.com/v1/tracks/0ULdfU4qip9duOw03FKBCr,https://api.spotify.com/v1/audio-analysis/0ULdfU4qip9duOw03FKBCr,155307,4
Sha La La,Manfred Mann,6TVWJ44dmJbeYb2p1bb6t5,0.36,0.838,5,-4.208,1,0.0395,0.521,0.0,0.861,0.868,144.78,audio_features,6TVWJ44dmJbeYb2p1bb6t5,spotify:track:6TVWJ44dmJbeYb2p1bb6t5,https://api.spotify.com/v1/tracks/6TVWJ44dmJbeYb2p1bb6t5,https://api.spotify.com/v1/audio-analysis/6TVWJ44dmJbeYb2p1bb6t5,151693,4
Blue Suede Shoes,Carl Perkins,3Qylbx7tZcsP9RggQ6umUh,0.548,0.675,4,-7.318,0,0.0364,0.448,8.53e-05,0.297,0.965,168.891,audio_features,3Qylbx7tZcsP9RggQ6umUh,spotify:track:3Qylbx7tZcsP9RggQ6umUh,https://api.spotify.com/v1/tracks/3Qylbx7tZcsP9RggQ6umUh,https://api.spotify.com/v1/audio-analysis/3Qylbx7tZcsP9RggQ6umUh,134446,4
(Say) You're My Girl,Roy Orbison,1FmN2ZJQ8W5Dn5rVzWvth1,0.513,0.473,0,-8.578,1,0.0273,0.778,6.92e-06,0.18,0.852,82.187,audio_features,1FmN2ZJQ8W5Dn5rVzWvth1,spotify:track:1FmN2ZJQ8W5Dn5rVzWvth1,https://api.spotify.com/v1/tracks/1FmN2ZJQ8W5Dn5rVzWvth1,https://api.spotify.com/v1/audio-analysis/1FmN2ZJQ8W5Dn5rVzWvth1,167133,4
Twenty Four Hours From Tulsa,Gene Pitney,5FxPUjVlH62XfPoa1UrFWA,0.467,0.615,7,-7.252,1,0.0348,0.733,0.0,0.384,0.714,79.026,audio_features,5FxPUjVlH62XfPoa1UrFWA,spotify:track:5FxPUjVlH62XfPoa1UrFWA,https://api.spotify.com/v1/tracks/5FxPUjVlH62XfPoa1UrFWA,https://api.spotify.com/v1/audio-analysis/5FxPUjVlH62XfPoa1UrFWA,177720,4
Batje Vier,Cocktail Trio,6wHgik0QnlKy02Nw4Xt4YP,0.737,0.761,5,-6.494,1,0.0384,0.0639,0.000451,0.133,0.965,120.145,audio_features,6wHgik0QnlKy02Nw4Xt4YP,spotify:track:6wHgik0QnlKy02Nw4Xt4YP,https://api.spotify.com/v1/tracks/6wHgik0QnlKy02Nw4Xt4YP,https://api.spotify.com/v1/audio-analysis/6wHgik0QnlKy02Nw4Xt4YP,166453,4
All Things Must Pass - Remastered 2014,George Harrison,6QLFNz62dpOgQTloWuUbNh,0.513,0.569,9,-8.278,1,0.029,0.468,0.00134,0.111,0.441,122.676,audio_features,6QLFNz62dpOgQTloWuUbNh,spotify:track:6QLFNz62dpOgQTloWuUbNh,https://api.spotify.com/v1/tracks/6QLFNz62dpOgQTloWuUbNh,https://api.spotify.com/v1/audio-analysis/6QLFNz62dpOgQTloWuUbNh,226867,4
Someone Saved My Life Tonight,Elton John,0bLOiofyBB62YU2cNnONJG,0.457,0.428,1,-9.796,1,0.0283,0.329,2.21e-06,0.169,0.151,129.98,audio_features,0bLOiofyBB62YU2cNnONJG,spotify:track:0bLOiofyBB62YU2cNnONJG,https://api.spotify.com/v1/tracks/0bLOiofyBB62YU2cNnONJG,https://api.spotify.com/v1/audio-analysis/0bLOiofyBB62YU2cNnONJG,404933,4
Relay,The Who,5vmaABoD6k1yUb0IrVNaIF,0.554,0.822,2,-9.165,1,0.0326,0.471,3.29e-05,0.0861,0.882,94.01,audio_features,5vmaABoD6k1yUb0IrVNaIF,spotify:track:5vmaABoD6k1yUb0IrVNaIF,https://api.spotify.com/v1/tracks/5vmaABoD6k1yUb0IrVNaIF,https://api.spotify.com/v1/audio-analysis/5vmaABoD6k1yUb0IrVNaIF,235013,4
"Baby, You’ve Got What It Takes",Dinah Washington,0DICNd5XQ1og9UeYzxoNFV,0.67,0.596,3,-9.347,1,0.0627,0.852,0.00203,0.653,0.813,133.396,audio_features,0DICNd5XQ1og9UeYzxoNFV,spotify:track:0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/tracks/0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/audio-analysis/0DICNd5XQ1og9UeYzxoNFV,165760,4
"Baby, You’ve Got What It Takes",Brook Benton,0DICNd5XQ1og9UeYzxoNFV,0.67,0.596,3,-9.347,1,0.0627,0.852,0.00203,0.653,0.813,133.396,audio_features,0DICNd5XQ1og9UeYzxoNFV,spotify:track:0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/tracks/0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/audio-analysis/0DICNd5XQ1og9UeYzxoNFV,165760,4
Theme from a Summer Place,Percy Faith & His Orchestra,5oZjrzfE3Lew2c3NWI3YtN,0.213,0.324,9,-13.823,0,0.0304,0.45,0.383,0.0728,0.557,181.746,audio_features,5oZjrzfE3Lew2c3NWI3YtN,spotify:track:5oZjrzfE3Lew2c3NWI3YtN,https://api.spotify.com/v1/tracks/5oZjrzfE3Lew2c3NWI3YtN,https://api.spotify.com/v1/audio-analysis/5oZjrzfE3Lew2c3NWI3YtN,165213,3
Running Bear,Johnny Preston,1RYznli2VNO7FCbW1Hq4KM,0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,audio_features,1RYznli2VNO7FCbW1Hq4KM,spotify:track:1RYznli2VNO7FCbW1Hq4KM,https://api.spotify.com/v1/tracks/1RYznli2VNO7FCbW1Hq4KM,https://api.spotify.com/v1/audio-analysis/1RYznli2VNO7FCbW1Hq4KM,158200,4
Teen Angel,Mark Dinning,2VbwU6FU8BlgJaAzE23S11,0.582,0.168,0,-12.426,1,0.035,0.869,0.0,0.147,0.349,97.537,audio_features,2VbwU6FU8BlgJaAzE23S11,spotify:track:2VbwU6FU8BlgJaAzE23S11,https://api.spotify.com/v1/tracks/2VbwU6FU8BlgJaAzE23S11,https://api.spotify.com/v1/audio-analysis/2VbwU6FU8BlgJaAzE23S11,157080,4
